Value,RefDes,Footprint,LCSC P/N
100nF,"C1, C9, C11, C13, C104",0402,C307331
10uF 50V,C14,1206,C13585
2.2uF 50V,"C100, C101",0805,C49217
6.8nF 50V,C102,402,C1542
39pF 50V,C103,402,C106223
47uF 6.3V,"C105, C106",0805,C16780
40V 3A,D1,SMA(DO-214AC),C85098
B560C,D100,SMC(DO-214AB),C85100
10uH,L100,"SMD,5.2x5.4x3.0mm",C408408
GRN,LED1,805,C2297
10k,"R5, R6, R7, R8, R10",402,C25744
2k,R9,402,C4109
100k,R100,402,C25741
13k,R101,402,C25746
270k,R102,402,C25770
51k,R103,402,C25794
74AHCT595,"U1, U2, U3, U4",SOIC-16_150mil,C133793
TPS54360,U100,SOP-8_EP_150mil,C44377
