"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","28.886","30.713","Top","180.0"
"C8","60.332","63.098","Top","270.0"
"C9","70.478","30.713","Top","180.0"
"C11","109.531","30.713","Top","180.0"
"C13","121.768","52.621","Top","90.0"
"C14","15.289","77.555","Top","270.0"
"C100","97.008","41.27","Top","90.0"
"C101","94.784","41.27","Top","90.0"
"C102","95.752","53.86","Top","180.0"
"C103","96.239","52.516","Top","270.0"
"C104","91.858","47.864","Top","90.0"
"C105","77.772","48.246","Top","0.0"
"C106","77.772","46.046","Top","0.0"
"D1","12.284","75.798","Top","90.0"
"D100","88.222","47.256","Top","270.0"
"J1","48.426","28.808","Top","0.0"
"J2","89.7","28.808","Top","0.0"
"J3","127.166","28.808","Top","0.0"
"J4","34.138","64.368","Top","0.0"
"J5","34.138","61.828","Top","0.0"
"J6","34.138","36.428","Top","0.0"
"J7","34.138","38.968","Top","0.0"
"J11","30.328","92.308","Top","180.0"
"J23","72.873","38.21","Top","180.0"
"L100","82.392","47.256","Top","270.0"
"LED1","74.117","57.251","Top","180.0"
"MOD1","27.788","69.448","Top","180.0"
"MOD2","60.808","69.448","Top","180.0"
"MOD3","93.828","69.448","Top","180.0"
"MOD4","126.757","69.448","Top","180.0"
"MOD5","102.718","50.398","Top","90.0"
"R5","44.298","58.177","Top","90.0"
"R6","46.758","58.258","Top","90.0"
"R7","49.349","58.258","Top","90.0"
"R8","51.918","58.336","Top","90.0"
"R9","77.336","57.224","Top","180.0"
"R10","51.918","41.51","Top","90.0"
"R100","98.357","44.616","Top","270.0"
"R101","95.278","52.519","Top","270.0"
"R102","98.339","48.515","Top","270.0"
"R103","98.337","50.496","Top","270.0"
"SD1","17.008","50.773","Top","0.0"
"TB1","25.258","17.508","Top","0.0"
"TB2","45.258","17.508","Top","0.0"
"TB3","65.258","17.566","Top","0.0"
"TB4","138.278","23.887","Top","90.0"
"TB5","85.258","17.566","Top","0.0"
"TB6","105.258","17.566","Top","0.0"
"TB7","125.258","17.566","Top","0.0"
"U1","35.09","28.016","Top","90.0"
"U2","76.366","28.016","Top","90.0"
"U3","115.418","28.016","Top","90.0"
"U4","119.069","46.747","Top","0.0"
"U6","132.563","93.578","Top","90.0"
"U100","95.16","47.476","Top","0.0"
